number,title,slug,url,difficulty,tags,submission_id,submitted_at,language,runtime,memory,code_path,leetcode_notes,raw_comments,thought_process,notes,core_insight,pattern,mistakes,edge_cases,time_complexity,space_complexity,review_state,next_review,last_review,stability,fsrs_difficulty,retrievability,reps,lapses
21,Merge Two Sorted Lists,merge-two-sorted-lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,"Linked List, Recursion",1839193424,2025-11-25T07:19:17+00:00,python3,0 ms,17.7 MB,21-merge-two-sorted-lists.py,,"Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next",,,,,,,,,new,,,,,,0,0
21,Merge Two Sorted Lists,merge-two-sorted-lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,"Linked List, Recursion",2077134971,2026-07-22T13:11:46+00:00,python3,0 ms,19.2 MB,21-merge-two-sorted-lists.py,[ Time taken: 1d 6hrs 22m 8s ],"Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next",,,,,,,,,new,,,,,,0,0
23,Merge k Sorted Lists,merge-k-sorted-lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort",1904855367,2026-02-01T22:47:56+00:00,python3,7 ms,23.2 MB,23-merge-k-sorted-lists.py,,"Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next",,,,,,,,,new,,,,,,0,0
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,"Array, Two Pointers",1802183888,2025-10-15T07:21:28+00:00,python3,4 ms,18.7 MB,26-remove-duplicates-from-sorted-array.py,,,,,,,,,,,new,,,,,,0,0
27,Remove Element,remove-element,https://leetcode.com/problems/remove-element/,Easy,"Array, Two Pointers",1802179845,2025-10-15T07:15:22+00:00,python3,0 ms,17.9 MB,27-remove-element.py,,,,,,,,,,,new,,,,,,0,0
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,"Array, Binary Search",2078584102,2026-07-23T15:38:58+00:00,python3,0 ms,19.4 MB,33-search-in-rotated-sorted-array.py,,"initial thoughts this is binary search
check whether left half is normally sorted
check if target sits within the sorted half, if so then we just search this half ",,,,,,,,,new,,,,,,0,0
36,Valid Sudoku,valid-sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,"Array, Hash Table, Matrix",1809110203,2025-10-23T04:50:17+00:00,python3,7 ms,17.7 MB,36-valid-sudoku.py,,,,,,,,,,,new,,,,,,0,0
39,Combination Sum,combination-sum,https://leetcode.com/problems/combination-sum/,Medium,"Array, Backtracking",1868151342,2025-12-29T06:32:25+00:00,python3,14 ms,17.1 MB,39-combination-sum.py,,"base case
add the next number
skip",,,,,,,,,new,,,,,,0,0
39,Combination Sum,combination-sum,https://leetcode.com/problems/combination-sum/,Medium,"Array, Backtracking",2087595257,2026-07-30T14:11:19+00:00,python3,7 ms,19.7 MB,39-combination-sum.py,,,,,,,,,,,new,,,,,,0,0
42,Trapping Rain Water,trapping-rain-water,https://leetcode.com/problems/trapping-rain-water/,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",1835651592,2025-11-21T03:15:37+00:00,python3,11 ms,19.2 MB,42-trapping-rain-water.py,[ Time taken: 16 hrs 20 m 4 s ],,,,,,,,,,new,,,,,,0,0
42,Trapping Rain Water,trapping-rain-water,https://leetcode.com/problems/trapping-rain-water/,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",1835653726,2025-11-21T03:19:43+00:00,python3,7 ms,19.3 MB,42-trapping-rain-water.py,,,,,,,,,,,new,,,,,,0,0
45,Jump Game II,jump-game-ii,https://leetcode.com/problems/jump-game-ii/,Medium,"Array, Dynamic Programming, Greedy",1805633352,2025-10-19T05:32:43+00:00,python3,11 ms,18.8 MB,45-jump-game-ii.py,,"end has to be less than the end index  
keep track of farthest jump ",,,,,,,,,new,,,,,,0,0
45,Jump Game II,jump-game-ii,https://leetcode.com/problems/jump-game-ii/,Medium,"Array, Dynamic Programming, Greedy",1805638518,2025-10-19T05:40:57+00:00,python3,11 ms,18.5 MB,45-jump-game-ii.py,,,,,,,,,,,new,,,,,,0,0
46,Permutations,permutations,https://leetcode.com/problems/permutations/,Medium,"Array, Backtracking",1868192137,2025-12-29T07:23:32+00:00,python3,2 ms,17.6 MB,46-permutations.py,,,,,,,,,,,new,,,,,,0,0
46,Permutations,permutations,https://leetcode.com/problems/permutations/,Medium,"Array, Backtracking",2087584129,2026-07-30T14:02:33+00:00,python3,3 ms,19.5 MB,46-permutations.py,,"base case 
loop through 
if this value is already used, return
if not used, set value to used, append, backtrack, and then undo
undo, and set value back to false ",,,,,,,,,new,,,,,,0,0
49,Group Anagrams,group-anagrams,https://leetcode.com/problems/group-anagrams/,Medium,"Array, Hash Table, String, Sorting",1836439777,2025-11-22T04:23:15+00:00,python3,10 ms,20.6 MB,49-group-anagrams.py,,,,,,,,,,,new,,,,,,0,0
51,N-Queens,n-queens,https://leetcode.com/problems/n-queens/,Hard,"Array, Backtracking, Algorithm X",2088823624,2026-07-31T13:11:20+00:00,python3,10 ms,19.8 MB,51-n-queens.py,,"For N queens, the solution lies in the fact that the only way the queens do not attack each other is that if they are in seperate rows or seperate columns, 
there cannot be a queen in the same row or column as another
we store them in a hash set since we want each column to be unique
and also every diagonal to be unique
check if there exists a queen on the diagonal or the column
add the queen
check the next row 
remove",,,,,,,,,new,,,,,,0,0
53,Maximum Subarray,maximum-subarray,https://leetcode.com/problems/maximum-subarray/,Medium,"Array, Divide and Conquer, Dynamic Programming",2080872105,2026-07-25T14:56:53+00:00,python3,27 ms,31.5 MB,53-maximum-subarray.py,[ Time taken: 1d 8hrs 13m 2s ],"ignore the negative values
add n to the total
keep track of max ",,,,,,,,,new,,,,,,0,0
54,Spiral Matrix,spiral-matrix,https://leetcode.com/problems/spiral-matrix/,Medium,"Array, Matrix, Simulation",2102877541,2026-08-11T13:29:20+00:00,python3,0 ms,19.3 MB,54-spiral-matrix.py,,"this is just matrix traversal, but we always start top left,
if we hit a boundary from right -> left, we go down, if we hit a boundry we go left, and if we hit another one we go up, but we have to keep track 
of which ones been visited so we dont run in a cycle, and thne if we bump into a visited node we go right so we end the spiral. 
O(1)
right, down, left, up 
O(m * n)
visit current cell
where do we go next
% allows us to wrap back around ",,,,,,,,,new,,,,,,0,0
55,Jump Game,jump-game,https://leetcode.com/problems/jump-game/,Medium,"Array, Dynamic Programming, Greedy",1805613521,2025-10-19T05:01:02+00:00,python3,9 ms,18.6 MB,55-jump-game.py,,,,,,,,,,,new,,,,,,0,0
55,Jump Game,jump-game,https://leetcode.com/problems/jump-game/,Medium,"Array, Dynamic Programming, Greedy",1805619508,2025-10-19T05:10:47+00:00,python3,11 ms,18.7 MB,55-jump-game.py,,,,,,,,,,,new,,,,,,0,0
56,Merge Intervals,merge-intervals,https://leetcode.com/problems/merge-intervals/,Medium,"Array, Sorting, Quicksort",1870078700,2025-12-31T07:53:01+00:00,python3,11 ms,21.5 MB,56-merge-intervals.py,,,,,,,,,,,new,,,,,,0,0
56,Merge Intervals,merge-intervals,https://leetcode.com/problems/merge-intervals/,Medium,"Array, Sorting, Quicksort",2093684262,2026-08-04T08:19:57+00:00,python3,7 ms,22.5 MB,56-merge-intervals.py,[ Time taken: 23hrs 44m 42s ],"sort the interval by the starting time
O(nlogn)
initialize the list with the start times
if the current start time is inside the interval of the last merged,
put the current time into the interval
if the current start time is not overlapping you can appendit safely",,,,,,,,,new,,,,,,0,0
56,Merge Intervals,merge-intervals,https://leetcode.com/problems/merge-intervals/,Medium,"Array, Sorting, Quicksort",2093688958,2026-08-04T08:24:28+00:00,python3,1 ms,22.2 MB,56-merge-intervals.py,,"sort the interval by the starting time
O(nlogn)
check if the start of the interval is greater than the last merged time 
else the current interval is within the window and we have to take the largest end time",,,,,,,,,new,,,,,,0,0
57,Insert Interval,insert-interval,https://leetcode.com/problems/insert-interval/,Medium,Array,1748288818,2025-08-25T22:02:00+00:00,python3,3 ms,19.9 MB,57-insert-interval.py,,"Case 1, there are no overlapping intervals
Case 2, overlapping
Case 3, no overlapping after merging newInterval",,,,,,,,,new,,,,,,0,0
61,Rotate List,rotate-list,https://leetcode.com/problems/rotate-list/,Medium,"Linked List, Two Pointers",1809125391,2025-10-23T05:11:28+00:00,python3,0 ms,17.7 MB,61-rotate-list.py,,"Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next",,,,,,,,,new,,,,,,0,0
61,Rotate List,rotate-list,https://leetcode.com/problems/rotate-list/,Medium,"Linked List, Two Pointers",1809125510,2025-10-23T05:11:39+00:00,python3,1 ms,18 MB,61-rotate-list.py,,"Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next",,,,,,,,,new,,,,,,0,0
62,Unique Paths,unique-paths,https://leetcode.com/problems/unique-paths/,Medium,"Math, Dynamic Programming, Combinatorics",2097994989,2026-08-07T13:35:56+00:00,python3,4 ms,19.8 MB,62-unique-paths.py,,"looks like a DP problem, the robot can only move down or right
so there are two options that the robot can take at each time 
the state of this problem is dp(i, j) which are the possible steps the robot can take to get to the finish 
we can use memoization to store the previous paths
base case if they reach the end 
if the current row, column is already cached we just retrieve it",,,,,,,,,new,,,,,,0,0
62,Unique Paths,unique-paths,https://leetcode.com/problems/unique-paths/,Medium,"Math, Dynamic Programming, Combinatorics",2097998534,2026-08-07T13:39:12+00:00,python3,0 ms,19.7 MB,62-unique-paths.py,,"looks like a DP problem, the robot can only move down or right
so there are two options that the robot can take at each time 
the state of this problem is dp(i, j) which are the possible steps the robot can take to get to the finish 
we can use memoization to store the previous paths
O(1) initialization 
base case if they reach the end, O(1) comparisons
if the current row, column is already cached we just retrieve it
O(m*n)
O(m*n) total",,,,,,,,,new,,,,,,0,0
70,Climbing Stairs,climbing-stairs,https://leetcode.com/problems/climbing-stairs/,Easy,"Math, Dynamic Programming, Memoization",2093710740,2026-08-04T08:43:43+00:00,python3,0 ms,19.3 MB,70-climbing-stairs.py,,,,,,,,,,,new,,,,,,0,0
75,Sort Colors,sort-colors,https://leetcode.com/problems/sort-colors/,Medium,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort",1870583087,2025-12-31T22:22:45+00:00,python3,0 ms,17.2 MB,75-sort-colors.py,,"
        Do not return anything, modify nums in-place instead.
        ",,,,,,,,,new,,,,,,0,0
76,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window",1874978922,2026-01-05T06:39:11+00:00,python3,51 ms,17.8 MB,76-minimum-window-substring.py,,,,,,,,,,,new,,,,,,0,0
76,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window",1874979067,2026-01-05T06:39:20+00:00,python3,50 ms,18.1 MB,76-minimum-window-substring.py,,,,,,,,,,,new,,,,,,0,0
76,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window",1874980149,2026-01-05T06:40:30+00:00,python3,53 ms,18.1 MB,76-minimum-window-substring.py,,append ,,,,,,,,,new,,,,,,0,0
76,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window",1874981023,2026-01-05T06:41:31+00:00,python3,51 ms,17.9 MB,76-minimum-window-substring.py,,"count all the letters in t  
the amount of letters we need to remove",,,,,,,,,new,,,,,,0,0
76,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window",2084390817,2026-07-28T07:22:05+00:00,python3,55 ms,19.6 MB,76-minimum-window-substring.py,,"populate t letters
if the letter in s is in t, decrement the char from t_letters and also from the count if there is no more 
while count == 0, this is a valid window because all the letters are within this window
expand to include the other letters on the left side",,,,,,,,,new,,,,,,0,0
76,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window",2084406616,2026-07-28T07:38:19+00:00,python3,49 ms,19.7 MB,76-minimum-window-substring.py,,"If we still need this character,
it satisfies one requirement
Add char to our current window
Window is valid, so shrink from the left
Remove the leftmost character from the window
If positive, we now need this character again",,,,,,,,,new,,,,,,0,0
77,Combinations,combinations,https://leetcode.com/problems/combinations/,Medium,Backtracking,2087183857,2026-07-30T08:10:23+00:00,python3,108 ms,61.5 MB,77-combinations.py,,,,,,,,,,,new,,,,,,0,0
78,Subsets,subsets,https://leetcode.com/problems/subsets/,Medium,"Array, Backtracking, Bit Manipulation",1878402392,2026-01-08T06:29:31+00:00,python3,0 ms,19.5 MB,78-subsets.py,,,,,,,,,,,new,,,,,,0,0
78,Subsets,subsets,https://leetcode.com/problems/subsets/,Medium,"Array, Backtracking, Bit Manipulation",2086203410,2026-07-29T13:58:40+00:00,python3,2 ms,19.4 MB,78-subsets.py,,"base case if we reach the end of the array
include the current
exclude it",,,,,,,,,new,,,,,,0,0
78,Subsets,subsets,https://leetcode.com/problems/subsets/,Medium,"Array, Backtracking, Bit Manipulation",2086225228,2026-07-29T14:15:13+00:00,python3,0 ms,19.4 MB,78-subsets.py,,,,,,,,,,,new,,,,,,0,0
79,Word Search,word-search,https://leetcode.com/problems/word-search/,Medium,"Array, String, Backtracking, Depth-First Search, Matrix",1871787918,2026-01-02T07:55:35+00:00,python3,3200 ms,17.4 MB,79-word-search.py,,,,,,,,,,,new,,,,,,0,0
79,Word Search,word-search,https://leetcode.com/problems/word-search/,Medium,"Array, String, Backtracking, Depth-First Search, Matrix",2088806394,2026-07-31T12:53:10+00:00,python3,3453 ms,19.4 MB,79-word-search.py,,,,,,,,,,,new,,,,,,0,0
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,"Array, Two Pointers",1802164442,2025-10-15T06:54:12+00:00,python3,89 ms,20.5 MB,80-remove-duplicates-from-sorted-array-ii.py,,,,,,,,,,,new,,,,,,0,0
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query",2104173024,2026-08-12T12:44:46+00:00,python3,122 ms,36.6 MB,84-largest-rectangle-in-histogram.py,,"we can solve this by creating a stack, and then adding tuples of (height, index) to the stack, and when we have a candidate we append to the stack, and
when the height of the next possible candidate is lower than the one we currently have
we pop the candidate and then we check for the maximum height, and we continue this throughout the possible heights, keeping track of the maximum height we get
if the most recent candidate has a larger height than the current candidate, we pop
find max area
then we start at the new candidate so we append 
there can still be possible candidates on the stack so we have to check those as well",,,,,,,,,new,,,,,,0,0
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query",2104174858,2026-08-12T12:46:30+00:00,python3,123 ms,36.3 MB,84-largest-rectangle-in-histogram.py,,"we can solve this by creating a stack, and then adding tuples of (height, index) to the stack, and when we have a candidate we append to the stack, and
when the height of the next possible candidate is lower than the one we currently have
we pop the candidate and then we check for the maximum height, and we continue this throughout the possible heights, keeping track of the maximum height we get
O(n)
if the most recent candidate has a larger height than the current candidate, we pop
O(1)
find max area
then we start at the new candidate so we append 
there can still be possible candidates on the stack so we have to check those as well
O(1)
O(n)",,,,,,,,,new,,,,,,0,0
88,Merge Sorted Array,merge-sorted-array,https://leetcode.com/problems/merge-sorted-array/,Easy,"Array, Two Pointers, Sorting",1802175645,2025-10-15T07:09:13+00:00,python3,0 ms,17.9 MB,88-merge-sorted-array.py,,"
        Do not return anything, modify nums1 in-place instead.
        ",,,,,,,,,new,,,,,,0,0
98,Validate Binary Search Tree,validate-binary-search-tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",1870091084,2025-12-31T08:12:41+00:00,python3,3 ms,18.8 MB,98-validate-binary-search-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
98,Validate Binary Search Tree,validate-binary-search-tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",1870093057,2025-12-31T08:15:55+00:00,python3,0 ms,18.7 MB,98-validate-binary-search-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,"Tree, Breadth-First Search, Binary Tree",2073478071,2026-07-19T13:01:32+00:00,python3,3 ms,19.9 MB,102-binary-tree-level-order-traversal.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right
isnt this just BFS...",,,,,,,,,new,,,,,,0,0
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",1880343368,2026-01-10T04:46:57+00:00,python3,4 ms,20.3 MB,104-maximum-depth-of-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",1880344295,2026-01-10T04:48:27+00:00,python3,0 ms,20.6 MB,104-maximum-depth-of-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",2070923964,2026-07-17T09:23:15+00:00,python3,0 ms,21.9 MB,104-maximum-depth-of-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",2074602375,2026-07-20T13:27:02+00:00,python3,84 ms,90.9 MB,105-construct-binary-tree-from-preorder-and-inorder-traversal.py,[ Time taken: 1d 2hrs 27m 23s ],"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right
preorder is always Root -> Left -> Right
innorder is always Left -> Root -> Right 
innorder will tell us the size of the left and right of the root, which is good becasue 
preorder only gives us the root first and we don't actually know the size of the left and right subtrees 
we take the root from the first number from the preorder list 
this root value is our partition value to seperate the left and right in the innorder traversal
base case",,,,,,,,,new,,,,,,0,0
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",2074613443,2026-07-20T13:37:34+00:00,python3,88 ms,91 MB,105-construct-binary-tree-from-preorder-and-inorder-traversal.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right
preorder is always Root -> Left -> Right
innorder is always Left -> Root -> Right 
innorder will tell us the size of the left and right of the root, which is good becasue 
preorder only gives us the root first and we don't actually know the size of the left and right subtrees 
we take the root from the first number from the preorder list 
this root value is our partition value to seperate the left and right in the innorder traversal
base case
set the root value to first
initialize the tree with this root value
split the tree 
recursively build left and right subtree
it is mid + 1 because splicing excludes the last index ",,,,,,,,,new,,,,,,0,0
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",2074632203,2026-07-20T13:54:33+00:00,python3,4 ms,20.9 MB,105-construct-binary-tree-from-preorder-and-inorder-traversal.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right
preorder is always Root -> Left -> Right
innorder is always Left -> Root -> Right 
innorder will tell us the size of the left and right of the root, which is good becasue 
preorder only gives us the root first and we don't actually know the size of the left and right subtrees 
we take the root from the first number from the preorder list 
this root value is our partition value to seperate the left and right in the innorder traversal
instead of using index to iterate trhough all the numbers to find the value we split, create a mapping of a key and value in inorder arrray with a hashmap before we recurse so we access in O(1) instead of O(n)",,,,,,,,,new,,,,,,0,0
110,Balanced Binary Tree,balanced-binary-tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,"Tree, Depth-First Search, Binary Tree",1902504641,2026-01-31T01:54:33+00:00,python3,0 ms,20.4 MB,110-balanced-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
110,Balanced Binary Tree,balanced-binary-tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,"Tree, Depth-First Search, Binary Tree",2070955134,2026-07-17T09:51:32+00:00,python3,0 ms,20.2 MB,110-balanced-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
110,Balanced Binary Tree,balanced-binary-tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,"Tree, Depth-First Search, Binary Tree",2070957008,2026-07-17T09:53:15+00:00,python3,4 ms,20.5 MB,110-balanced-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,"Array, Dynamic Programming",1685630009,2025-07-04T02:34:40+00:00,python3,108 ms,27 MB,121-best-time-to-buy-and-sell-stock.py,,use sliding window ,,,,,,,,,new,,,,,,0,0
